mass,tone,fat,muscle,weight
-0.38,-0.27,5.74,16.16,40.35
-0.28,-0.27,6.02,18.2,42.67
-0.18,-0.27,6.15,18.6,43.19
-0.08,-0.27,12.99,21.41,52.85
0.02,-0.27,23.82,25.4,67.67
-0.38,-0.12,5.94,17.4,41.79
-0.28,-0.12,6.33,21.68,46.45
-0.18,-0.12,6.89,23.49,48.82
-0.08,-0.12,7.18,23.86,49.48
0.02,-0.12,15.47,24.94,58.84
-0.38,0.03,6.22,19.67,44.34
-0.28,0.03,7.32,23.7,49.47
-0.18,0.03,7.29,24.17,49.9
-0.08,0.03,7.29,24.15,49.88
0.02,0.03,10.23,22.04,50.71
-0.38,0.18,9.61,19.18,47.24
-0.28,0.18,7.25,24.05,49.75
-0.18,0.18,7.32,24.1,49.87
-0.08,0.18,7.38,24.13,49.95
0.02,0.18,10.37,24.46,53.27
-0.38,0.33,9.6,19.76,47.81
-0.28,0.33,9.75,19.92,48.12
-0.18,0.33,9.76,20.12,48.32
-0.08,0.33,10.14,23.61,52.19
0.02,0.33,10.1,27.42,55.97
