mass,tone,fat,muscle,weight
-0.2,-0.84,7.4,14.98,40.92
-0.1,-0.84,20.88,17.2,56.63
0.0,-0.84,37.6,14.97,71.11
0.1,-0.84,46.81,24.47,89.83
0.2,-0.84,47.87,51.89,118.31
-0.2,-0.69,7.4,14.99,40.93
-0.1,-0.69,23.54,25.99,68.08
0.0,-0.69,34.03,21.93,74.5
0.1,-0.69,34.08,24.73,77.36
0.2,-0.69,47.86,51.96,118.36
-0.2,-0.54,9.22,12.9,40.66
-0.1,-0.54,33.65,22.28,74.47
0.0,-0.54,33.55,24.31,76.4
0.1,-0.54,34.07,25.01,77.63
0.2,-0.54,48.83,50.88,118.26
-0.2,-0.39,5.47,10.53,34.54
-0.1,-0.39,33.06,22.86,74.47
0.0,-0.39,33.69,23.46,75.7
0.1,-0.39,33.67,24.84,77.05
0.2,-0.39,47.89,41.89,108.32
-0.2,-0.24,5.52,13.13,37.2
-0.1,-0.24,6.25,16.54,41.34
0.0,-0.24,18.09,18.86,55.49
0.1,-0.24,38.72,14.32,71.58
0.2,-0.24,42.84,15.59,76.98
