mass,tone,fat,muscle,weight
-0.2,0.42,7.7,23.01,50.99
-0.1,0.42,8.97,25.77,55.02
0.0,0.42,10.47,27.6,58.35
0.1,0.42,10.9,31.3,62.49
0.2,0.42,12.44,34.63,67.36
-0.2,0.57,8.54,23.7,52.52
-0.1,0.57,7.59,27.42,55.29
0.0,0.57,9.16,27.5,56.95
0.1,0.57,10.76,26.36,57.4
0.2,0.57,12.36,36.32,68.96
-0.2,0.72,8.85,23.49,52.62
-0.1,0.72,10.12,26.38,56.78
0.0,0.72,10.33,26.58,57.2
0.1,0.72,10.18,27.06,57.52
0.2,0.72,12.46,36.26,69.0
-0.2,0.87,8.79,23.59,52.66
-0.1,0.87,10.33,26.26,56.87
0.0,0.87,10.15,26.77,57.21
0.1,0.87,10.15,27.11,57.54
0.2,0.87,12.38,36.41,69.07
-0.2,1.02,8.76,23.66,52.7
-0.1,1.02,9.99,26.38,56.65
0.0,1.02,11.08,28.67,60.04
0.1,1.02,11.29,32.5,64.07
0.2,1.02,12.42,36.4,69.11
