mass,tone,fat,muscle,weight
-0.29,-0.87,5.2,4.13,29.38
-0.19,-0.87,5.32,14.42,39.79
-0.09,-0.87,11.86,24.07,55.98
0.01,-0.87,25.21,25.28,70.54
0.11,-0.87,43.64,24.19,87.87
-0.29,-0.72,5.2,4.15,29.4
-0.19,-0.72,7.66,22.44,50.14
-0.09,-0.72,11.39,25.45,56.9
0.01,-0.72,11.62,27.16,58.82
0.11,-0.72,43.71,24.18,87.93
-0.29,-0.57,5.2,4.17,29.42
-0.19,-0.57,11.46,24.46,55.96
-0.09,-0.57,11.68,26.27,58.0
0.01,-0.57,11.87,26.96,58.87
0.11,-0.57,43.75,24.2,87.99
-0.29,-0.42,5.2,5.78,31.03
-0.19,-0.42,12.22,23.39,55.66
-0.09,-0.42,11.58,25.98,57.6
0.01,-0.42,11.69,26.82,58.56
0.11,-0.42,39.41,22.88,82.33
-0.29,-0.27,5.2,8.47,33.72
-0.19,-0.27,5.2,9.01,34.25
-0.09,-0.27,6.33,15.7,42.08
0.01,-0.27,11.58,24.93,56.56
0.11,-0.27,25.54,28.62,74.21
